# federal-mech.binding.csv — control-evidence binding truth for the CONTROL_INTENT goal (goals/CONTROL_INTENT.md, TRUTH).
# Authored 2026-09-25 by reading the set's controls sheets (PDF text layer and renders), never pipeline output.
# One row per (keyed instance, governing control packet): the control detail, schematic, sequence section or
# points schedule that decides the unit's BAS scope and options. packet_title is the title as printed (a line
# break joined by a space). binding: tag (the packet names the unit's own tag) · list_range (a tag list or range
# that contains it) · cross_reference (a schedule cell or remark points to it) · family_detail (a detail for the
# unit's type, with no tag) · semantic (only meaning connects them, e.g. a component of another unit). packet
# "none": no control packet governs the instance. Population: every instance of keys/federal-mech.typicals.csv.
# Project-wide general controls notes are not listed per unit. A key that looks wrong later is catalogued,
# never edited (GOAL_LOOPS ANTI-GAMING).
sheet,tag,family,packet_sheet,packet_title,binding,note
federal-attachment4-mechanical.pdf#14,AHU-1,AHU,federal-attachment4-mechanical.pdf#21,AHU-1 DIAGRAM AND POINT LIST,tag,
federal-attachment4-mechanical.pdf#14,AHU-1,AHU,federal-attachment4-mechanical.pdf#22,AHU-1 SEQUENCE OF OPERATIONS,tag,
federal-attachment4-mechanical.pdf#14,B-1,BOILER,federal-attachment4-mechanical.pdf#20,BOILER SYSTEM - CONTROL DIAGRAM,tag,
federal-attachment4-mechanical.pdf#14,B-1,BOILER,federal-attachment4-mechanical.pdf#20,HEATING HOT WATER SYSTEM - SEQUENCE OF OPERATION,family_detail,
federal-attachment4-mechanical.pdf#14,B-1,BOILER,federal-attachment4-mechanical.pdf#20,HVAC CONTROLS - BMS POINT FUNCTION SCHEDULE - HHW SYSTEM,family_detail,
federal-attachment4-mechanical.pdf#14,B-2,BOILER,federal-attachment4-mechanical.pdf#20,BOILER SYSTEM - CONTROL DIAGRAM,tag,
federal-attachment4-mechanical.pdf#14,B-2,BOILER,federal-attachment4-mechanical.pdf#20,HEATING HOT WATER SYSTEM - SEQUENCE OF OPERATION,family_detail,
federal-attachment4-mechanical.pdf#14,B-2,BOILER,federal-attachment4-mechanical.pdf#20,HVAC CONTROLS - BMS POINT FUNCTION SCHEDULE - HHW SYSTEM,family_detail,
federal-attachment4-mechanical.pdf#14,CH-1,AIR_COOLED_CHILLER,federal-attachment4-mechanical.pdf#19,CHILLED WATER SYSTEM - CONTROL DIAGRAM,tag,
federal-attachment4-mechanical.pdf#14,CH-1,AIR_COOLED_CHILLER,federal-attachment4-mechanical.pdf#19,CHILLED WATER SYSTEM - SEQUENCE OF OPERATION,family_detail,
