sheet,tag,role,in_table,note
bldg5406-hvac-demo-mechanical.pdf#2,EF-3,plan,false,"visually confirmed via independent render — BUILDING 5406 MECHANICAL HVAC FLOOR PLAN, boxed tag EF-3 with leader to an exhaust-fan glyph near FILM PROCESSING room. Confirmed MISSED, root-caused: zero textSpans anywhere near its rendered position contain 'EF' or an isolated '3' (checked out to 350pt) — the glyph is not real vector text (an exploded/outlined label or equivalent), the exact 'exploded-glyph recognition' case plans/03-drawing-tag-recognition-audit.md §3.9 already lists as out of scope for this plan. Kept in the key deliberately: this is real, human-visible content the census can never see under the current text-extraction approach, not a gap in tag recognition logic."
bldg5406-hvac-demo-mechanical.pdf#2,VAV-2,plan,false,"visually confirmed — boxed tag VAV-2 near the RADIATION CONTROL room, adjacent to a CDA/RRA duct run."
bldg5406-hvac-demo-mechanical.pdf#2,VAV-1,plan,false,"confirmed via direct textSpans extraction (pdf.ts, independent of buildTagIndex) and visually present in the same render as VAV-2/EF-1/EF-4/EF-5 — added when the key was extended to cover every VAV/EF instance on this sheet, not just a sample."
bldg5406-hvac-demo-mechanical.pdf#2,VAV-3,plan,false,"confirmed via direct textSpans extraction, same basis as VAV-1 above."
bldg5406-hvac-demo-mechanical.pdf#2,VAV-4,plan,false,"confirmed via direct textSpans extraction, same basis as VAV-1 above."
bldg5406-hvac-demo-mechanical.pdf#2,VAV-5,plan,false,"confirmed via direct textSpans extraction, same basis as VAV-1 above."
bldg5406-hvac-demo-mechanical.pdf#2,VAV-6,plan,false,"visually confirmed via independent render (boxed tag VAV-6 next to a 10x10 duct run, between VAV-5 and VAV-9) but MISSED by the census, root-caused: no textSpans match anywhere near its rendered position — same non-extractable-glyph class as EF-3/EF-2 below. Kept in the key deliberately, same reasoning as EF-3."
bldg5406-hvac-demo-mechanical.pdf#2,VAV-7,plan,false,"confirmed via direct textSpans extraction, same basis as VAV-1 above."
bldg5406-hvac-demo-mechanical.pdf#2,VAV-8,plan,false,"confirmed via direct textSpans extraction, same basis as VAV-1 above."
bldg5406-hvac-demo-mechanical.pdf#2,VAV-9,plan,false,"confirmed via direct textSpans extraction, same basis as VAV-1 above."
bldg5406-hvac-demo-mechanical.pdf#2,EF-1,plan,false,"confirmed via direct textSpans extraction, same basis as VAV-1 above; visually present near AC-1/ACCU-1 at the bottom of the sheet."
bldg5406-hvac-demo-mechanical.pdf#2,EF-2,plan,false,"visually confirmed via independent render (boxed tag EF-2 next to EF-1/EF-5 near AC-1/ACCU-1) but MISSED by the census, root-caused: no textSpans match anywhere near its rendered position — same non-extractable-glyph class as EF-3 above. Kept in the key deliberately, same reasoning as EF-3."
bldg5406-hvac-demo-mechanical.pdf#2,EF-4,plan,false,"confirmed via direct textSpans extraction, same basis as VAV-1 above; visually present near the FILM PROCESSING room, close to EF-3."
bldg5406-hvac-demo-mechanical.pdf#2,EF-5,plan,false,"confirmed via direct textSpans extraction, same basis as VAV-1 above; visually present near AC-1/ACCU-1."
