# 031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.typicals.csv — TYPICAL-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-typical-eval.mjs).
#
# Judged the way an estimator would: from renders and the PDF's own text of each schedule row, its
# notes, and the sequences and control schematics the sheets point to. The pipeline's output for
# these sheets was not consulted. A key that looks wrong is written up in ASSEMBLIES_BUG_CATALOGUE.md,
# never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Library: us-typicals v1 (web/src/lib/assemblies/starter/us-typicals-v1.json), ids and options frozen at
# GATE 4. typical_id "none": no v1 typical fits the unit (it is listed as "no assembly").
# options: every option of the typical as option=true|false. A trailing "?" marks an option the drawings
# do not decide: it carries the library default, and the eval scores it apart from decided options.
# Instances: every instance of keys/031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.attrs.csv, one row each.
# Sources read: M-101/M-102 (pages 63-64) plans; M-400 (page 68) diagrams, sequences, controls symbols, BACnet architecture; M-401 (page 69) AHU control diagram, sequence and points list; M-402 (page 70) heating water flow diagram; M-500/M-501 (pages 71-72) schedules.
#
sheet,tag,family,typical_id,options,basis_note
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#72,WHSE-AHU-1,AHU,ahu-multizone-vav,dedicated_min_oa=false;min_oa_dp=false;relief_damper=false;relief_fan=false;return_fan=true;return_fan_airflow=true;enthalpy_economizer=false;differential_economizer=false;dx_staged=false;freezestat_to_bas=false;duct_smoke_detectors=false;ufc_minimum_points=false,M-401 (VAV AIR HANDLING UNIT WITH MINIMUM OUTSIDE AIR): supply fan VSMC on duct static pressure reset by polling the terminal units; return fan VSMC holding supply minus return airflow at the minimum outside air (no separate minimum OA damper); dry-bulb economizer against a fixed 75 F limit and the supply temperature; freezestat hardwired to the supply fan drive and monitored (mixed air low limit BI); the duct smoke detectors report to the fire alarm system and have no BAS point. VA project (not DoD).
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#71,WHSE-SF1,FAN,none,,"Supply fan array of WHSE-AHU-1 (schedule service 'WHSE-AHU-1'); its points are the air handler's (M-401), so no separate fan typical."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#71,WHSE-RF1,FAN,none,,"Return fan of WHSE-AHU-1 (schedule service 'WHSE-AHU-1'); its points are the air handler's (M-401), so no separate fan typical."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#71,WHSE-EF1,FAN,fan-constant,motorized_damper=false?,"Toilet/breakroom exhaust fan, schedule SPEED CONTROL 'CONSTANT'. No control diagram or sequence covers it: typical from the schedule on a BACnet BAS project (M-400 control system configuration), its damper option not shown. VA project (not DoD)."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#71,WHSE-EF2,FAN,fan-variable,motorized_damper=false?;pressure_control=false?,"Forklift-area exhaust fan, schedule SPEED CONTROL 'VARIABLE'. No control diagram or sequence covers it: typical from the schedule on a BACnet BAS project (M-400 control system configuration), its options not shown. VA project (not DoD)."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#71,WHSE-SH1,HUMIDIFIER,humidifier,space_humidity=false,"Clean-steam dispersion humidifier in WHSE-AHU-1. M-400 detail 5 and M-401 section 4: return air humidity (MT-2) modulates the valve, supply air high limit, airflow switch. VA project (not DoD)."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#71,WHSE-HX1,HEAT_EXCHANGER,heat-exchanger,isolation_valve=false;condensate_pump=false;ufc_minimum_points=false,M-400 detail 1 (DUAL HEAT EXCHANGER CONTROLS): 1/3-2/3 steam control valves hold the leaving hot water temperature on an outdoor reset; duty/standby with HX2. No isolation valve and no condensate pump point (condensate to the existing return station). VA project (not DoD).
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#71,WHSE-HX2,HEAT_EXCHANGER,heat-exchanger,isolation_valve=false;condensate_pump=false;ufc_minimum_points=false,M-400 detail 1 (DUAL HEAT EXCHANGER CONTROLS): 1/3-2/3 steam control valves hold the leaving hot water temperature on an outdoor reset; duty/standby with HX1. No isolation valve and no condensate pump point (condensate to the existing return station). VA project (not DoD).
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#71,WHSE-P1,PUMP,none,,The schedule row prints 'NOT USED': no pump.
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#71,WHSE-P2,PUMP,pump-vfd,ufc_minimum_points=false,"Reheat water pump on a VFD, duty/standby with WHSE-P3; M-400 detail 1 sequence item 3 (alternation, fail-to-start alarm). VA project (not DoD)."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#71,WHSE-P3,PUMP,pump-vfd,ufc_minimum_points=false,"Reheat water pump on a VFD, duty/standby with WHSE-P2; M-400 detail 1 sequence item 3 (alternation, fail-to-start alarm). VA project (not DoD)."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#71,WHSE-P4,PUMP,pump-constant,ufc_minimum_points=false,Constant-speed circulator of the pumped preheat coil WHSE-PHC1 (M-402 heating water flow diagram). The M-401 points list has no pump point: typical from the schedule on a BAS project. VA project (not DoD).
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#72,WHSE-EUH-1,UNIT_HEATER,none,,Existing electric unit heater to remain (schedule remark 'EXISTING'; M-101 'EXISTING ELECTRIC UNIT HEATER 14-EUH1 TO REMAIN'): no new controls.
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#72,WHSE-EUH-2,UNIT_HEATER,none,,Existing electric unit heater to remain (schedule remark 'EXISTING'; M-101 'EXISTING ELECTRIC UNIT HEATER 14-EUH2 TO REMAIN'): no new controls.
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#72,WHSE-CC-1,DUCT_MOUNTED_COIL,none,,Cooling coil of WHSE-AHU-1; its valve V-1 is an air handler point (M-401). v1 has no DUCT_MOUNTED_COIL typical.
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#72,WHSE-PHC1,DUCT_MOUNTED_COIL,none,,Pumped preheat coil of WHSE-AHU-1; its valve V-2 is an air handler point (M-401). v1 has no DUCT_MOUNTED_COIL typical.
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#72,WHSE-RHC1,DUCT_MOUNTED_COIL,none,,"Terminal unit reheat coil; its valve is part of the terminal unit's controls (M-400 detail 2, VAV terminal control diagram). v1 has no DUCT_MOUNTED_COIL typical."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#72,WHSE-RHC2,DUCT_MOUNTED_COIL,none,,"Terminal unit reheat coil; its valve is part of the terminal unit's controls (M-400 detail 2, VAV terminal control diagram). v1 has no DUCT_MOUNTED_COIL typical."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#72,WHSE-RHC3,DUCT_MOUNTED_COIL,none,,"Terminal unit reheat coil; its valve is part of the terminal unit's controls (M-400 detail 2, VAV terminal control diagram). v1 has no DUCT_MOUNTED_COIL typical."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#72,WHSE-RHC4,DUCT_MOUNTED_COIL,none,,"Terminal unit reheat coil; its valve is part of the terminal unit's controls (M-400 detail 2, VAV terminal control diagram). v1 has no DUCT_MOUNTED_COIL typical."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#72,WHSE-RHC5,DUCT_MOUNTED_COIL,none,,"Terminal unit reheat coil; its valve is part of the terminal unit's controls (M-400 detail 2, VAV terminal control diagram). v1 has no DUCT_MOUNTED_COIL typical."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#72,WHSE-RHC6,DUCT_MOUNTED_COIL,none,,"Terminal unit reheat coil; its valve is part of the terminal unit's controls (M-400 detail 2, VAV terminal control diagram). v1 has no DUCT_MOUNTED_COIL typical."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#72,WHSE-RHC7,DUCT_MOUNTED_COIL,none,,"Terminal unit reheat coil; its valve is part of the terminal unit's controls (M-400 detail 2, VAV terminal control diagram). v1 has no DUCT_MOUNTED_COIL typical."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#72,WHSE-RHC8,DUCT_MOUNTED_COIL,none,,"Terminal unit reheat coil; its valve is part of the terminal unit's controls (M-400 detail 2, VAV terminal control diagram). v1 has no DUCT_MOUNTED_COIL typical."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#72,WHSE-RHC9,DUCT_MOUNTED_COIL,none,,"Terminal unit reheat coil; its valve is part of the terminal unit's controls (M-400 detail 2, VAV terminal control diagram). v1 has no DUCT_MOUNTED_COIL typical."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#72,WHSE-RHC10,DUCT_MOUNTED_COIL,none,,"Terminal unit reheat coil; its valve is part of the terminal unit's controls (M-400 detail 2, VAV terminal control diagram). v1 has no DUCT_MOUNTED_COIL typical."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#72,WHSE-RHC11,DUCT_MOUNTED_COIL,none,,"Terminal unit reheat coil; its valve is part of the terminal unit's controls (M-400 detail 2, VAV terminal control diagram). v1 has no DUCT_MOUNTED_COIL typical."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#72,WHSE-RHC12,DUCT_MOUNTED_COIL,none,,"Terminal unit reheat coil; its valve is part of the terminal unit's controls (M-400 detail 2, VAV terminal control diagram). v1 has no DUCT_MOUNTED_COIL typical."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#72,WHSE-RHC13,DUCT_MOUNTED_COIL,none,,"Terminal unit reheat coil; its valve is part of the terminal unit's controls (M-400 detail 2, VAV terminal control diagram). v1 has no DUCT_MOUNTED_COIL typical."
