sheet,tag,role,in_table,note
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#10,ECH-1,plan,false,Electric coil/cabinet heater tag labeled directly below ERV-1 on same duct run glyph; single unique instance.
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#10,ERV-1,plan,false,Energy recovery ventilator unit glyph (hexagon/box) in mechanical cluster near grid 7-8; single unique instance.
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#10,FCU-1,plan,false,"Fan coil unit type/schedule mark; drawn on 5 separate box glyphs across the sheet (Office 1174, Isolation Rm, Exam, Girls Rest area) — same literal tag reused per repeatable-type rule, listed once."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#10,FCU-2,plan,false,"Fan coil unit box glyph near ERV-1/ECH-1 cluster and near Speech Room; 2 occurrences of the same type, listed once."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#10,FCU-3,plan,false,"Fan coil unit box glyph in Classroom 1185 area; 2 occurrences of the same type, listed once."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#10,FCU-4,plan,false,"Fan coil unit box glyph, repeated 7 times across classrooms/corridor; listed once as repeatable type mark."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#11,ERV-2,plan,false,"New rooftop ERV unit, rectangular equipment symbol labeled 'ERV-2' with duct connections (20x8 RA DN / SA DN) leading to it. Unique instance mark -- the pipeline hint truncated this family to just 'ERV', but the full drawn literal is 'ERV-2'."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#11,EX RF-10,plan,false,Existing rooftop fan circle symbol labeled 'EX RF-10'.
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#11,EX RF-6,plan,false,Existing rooftop fan circle symbol labeled 'EX RF-6'.
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#11,EX RF-7,plan,false,Existing rooftop fan circle symbol labeled 'EX RF-7'.
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#11,EX RF-9,plan,false,"Existing rooftop fan circle symbol shown for reference on the new-work plan, labeled 'EX RF-9'. Pipeline hint (ERV, HP-1, HP-2, HP-3) missed this and the other three EX RF-x tags entirely."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#11,HP-1,plan,false,"New rooftop heat pump unit symbol (rectangle) labeled 'HP-1', with adjacent dimension/weight callout (98""x31""x67""h, 1446 LBS, mounted on 24"" equipment stand). Unique instance mark."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#11,HP-2,plan,false,"New rooftop heat pump unit symbol labeled 'HP-2' with its own dimension/weight callout (44""x19""x35""h, 214 LBS). Unique instance mark."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#11,HP-3,plan,false,"New rooftop heat pump unit symbol labeled 'HP-3' with its own dimension/weight callout (44""x19""x35""h, 225 LBS). Unique instance mark."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#12,FCU-1,plan,false,"Fan coil unit box glyph with 3/4"" refrigerant piping stub; 5 occurrences of the same type mark (Isolation Room, Office/Waiting, Exam, Girls Rest area), listed once."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#12,FCU-2,plan,false,"Fan coil unit box glyph near Speech Room 1180; single occurrence on this sheet but same repeatable type as page 10, listed once."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#12,FCU-3,plan,false,"Fan coil unit box glyph, 2 occurrences in Classroom 1185 area, listed once."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#12,FCU-4,plan,false,"Fan coil unit box glyph, repeated 7 times across classrooms/corridor, listed once."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#13,ERV-2,plan,false,"Same rooftop ERV unit as shown on page 11, repeated here on the piping plan, labeled 'ERV-2' with dimension/weight callout (117""x55""x57""H, 1534 LBS). Unique instance mark."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#13,EX RF-10,plan,false,Existing rooftop fan circle symbol labeled 'EX RF-10'.
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#13,EX RF-6,plan,false,Existing rooftop fan circle symbol labeled 'EX RF-6'.
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#13,EX RF-7,plan,false,Existing rooftop fan circle symbol labeled 'EX RF-7'.
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#13,EX RF-9,plan,false,"Existing rooftop fan circle symbol labeled 'EX RF-9', same location as on page 11's plan."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#13,HP-1,plan,false,"Same heat pump unit as page 11, repeated on piping plan, labeled 'HP-1' with dimension/weight callout (98""x31""x67""h, 1446 LBS)."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#13,HP-2,plan,false,"Same heat pump unit as page 11, repeated on piping plan, labeled 'HP-2' with dimension/weight callout (44""x19""x35""h, 214 LBS)."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#13,HP-3,plan,false,"Same heat pump unit as page 11, repeated on piping plan, labeled 'HP-3' with dimension/weight callout (44""x19""x35""h, 225 LBS)."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#17,ECH-1,plan,false,"Hexagon 'ECH' over '1' next to ERV-1/FCU cluster near Office 1174/Exam 1173. Electric cabinet/coil heater, unique instance, appears once."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#17,ERV-1,plan,false,"Hexagon 'ERV' over '1' with square disconnect box, near Isolation Room/Office 1174-1173 cluster (interior energy recovery unit). Unique instance — only occurrence of ERV-1 on this sheet, distinct from ERV-2 on the roof."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#17,ERV-2,plan,false,"Rectangle with hexagon core labeled 'ERV' over '2' on the Roof Plan (view 2), with WP disconnect and 60AF/35AT rating below. Unique roof-mounted ERV instance."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#17,EX RF-10,plan,false,Circle callout 'EX RF-10' on Roof Plan. Unique instance.
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#17,EX RF-6,plan,false,"Circle callout 'EX RF-6' (existing roof fan) on Roof Plan, no connected wiring shown (existing, untouched). Unique instance."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#17,EX RF-7,plan,false,Circle callout 'EX RF-7' on Roof Plan. Unique instance.
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#17,EX RF-9,plan,false,Circle callout 'EX RF-9' on Roof Plan. Unique instance.
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#17,FCU-1,plan,false,"Hexagon 'FCU' over '1' with attached disconnect box, drawn twice near Isolation Room 1175 (door side and toilet side). Repeatable type/schedule mark — same literal used for 2 separate physical fan coil units of the same model."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#17,FCU-2,plan,false,"Hexagon 'FCU' over '2', drawn 4x (Office 1174, near Exam 1173, near Girls Rest 1170, and a 2nd near Office 1174 top-right group). Repeatable type mark, listed once."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#17,FCU-3,plan,false,"Hexagon 'FCU' over '3' at Speech Room 1180. Only 1 occurrence on this sheet but part of the same FCU type-number series as FCU-1/2/4/6, so treated as a repeatable type/schedule mark rather than a unique instance."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#17,FCU-4,plan,false,"Hexagon 'FCU' over '4', drawn 2x (Classroom 1187 area, Classroom 1185). Repeatable type mark."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#17,FCU-6,plan,false,"Hexagon 'FCU' over '6', drawn 7x across I.A.C. Reading Room 1179 and Preparation Rm 1186 area. Clear repeatable type/schedule mark (same literal on many distinct physical units)."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#17,HP-1,plan,false,"Hexagon 'HP' over '1' on Roof Plan, rightmost roof unit with two WP disconnects (100AF/70AT each side) and PP1-24 feed. Unique heat pump instance."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#17,HP-2,plan,false,"Hexagon 'HP' over '2' on Roof Plan, middle-right unit with 60AF/30AT disconnect, PP1-13,15 feed. Unique instance."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#17,HP-3,plan,false,"Hexagon 'HP' over '3' on Roof Plan, middle unit with 60AF/35AT disconnect, PP1-17,19 feed. Unique instance."
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#17,PP1,plan,false,"Small filled panel symbol labeled ''PP1'' in the corridor near Boys/Girls Toilet on the First Floor Plan; every 'PP1-#,#' string elsewhere on the sheet is a circuit-number reference back to this one panel, not a separate tag. Unique instance — the panel itself is legitimate electrical-for-mechanical equipment."
